Name (international):,Name (local):,Type of institution:,Address:,City:,Phone:,Fax:,Email:,N/A
Bowdoin College,Bowdoin College,College,5700 College Station,Brunswick,"+1 (207) 725 3000, 207-725-3100",+1 207-725-3795,admissions@bowdoin.edu,N/A
Central Maine Community College,Central Maine Community College,College,1250 Turner Street,Maine,(207) 755-5233,,bowen@cmcc.edu,N/A
Colby College,Colby College,College,4000 Mayflower Hill,Waterville,+1 (207) 859 4000,+1 (207) 859 4349,hr@colby.edu,N/A
"College of Natural Sciences, Forestry, and Agriculture, University of Maine","College of Natural Sciences, Forestry, and Agriculture, University of Maine",College,"5782 Winslow Hall, Rm 2","Orono, ME",+1 (207) 581-3206,,alan.kezis@umit.maine.edu,N/A
College of the Atlantic,College of the Atlantic,College,105 Eden Street,Bar Harbor,+1 (207) 288 5015,+1 (207) 288 4126,carter@coa.edu,N/A
"A. James Clark School of Engineering, University of Maryland","University of Maryland, A. James Clark School of Engineering",College,3181 Glenn L. Martin Hall Bldg #088,College Park,+1 (301) 405-2376,+1 (301) 314-9001,eng-webmaster@umd.edu,N/A
Allegany College of Maryland,Allegany College of Maryland,College,"12401 Willowbrook Road, SE",Cumberland,301-784-5005,301-784-5058,personnel@allegany.edu,N/A
American College of Nurse-Midwives (ACNM),American College of Nurse-Midwives (ACNM),College,"8403 Colesville Rd, Suite 1550",Silver Spring MD,+1 (240) 485-1802,,jburke@acnm.org,N/A
American International Medical University,American International Medical University,University,"AIM-U Medversity SOM, AIM-U Ave, Beau-se-jour Road North Entrance","Gros Islet, St Lucia",+1 758- 450-0140 / 130,+1 758-450-0138,info@aimu-edu.us,N/A
Anne Arundel Community College,Anne Arundel Community College,College,,Maryland,410-777-2425,850.650.2272,sjspoor@aacc.edu,N/A
Baltimore City Community College,Baltimore City Community College,College,"2901 Liberty Heights Avenue, Harper Hall - RM 208",Baltimore,+1 410-462-8013,+1 410-462-7478,hr@bccc.edu,N/A
Baltimore Collegetown Network,Baltimore Collegetown Network,College,P.O. Box,Baltimore,410.532.3037,,info@baltimorecollegetown.org,N/A
Baltimore International College,Baltimore International College,College,17 Commerce Street Commerce Exchange,Baltimore,+1 (410) 752 4710,+1 (410) 752 3730,eross@bic.edu,N/A
"Barbara Brennan School of Healing, Boca Raton, FL","Barbara Brennan School of Healing, Boca Raton, FL",College,,Salisbury,,,,N/A
Bowie State University,Bowie State University,University,14000 Jericho Park Road,Bowie,"+1 (301) 860-3415,+1 (301) 860-4090","+1 (301) 860-3518,+1 (301) 860-4089",admission@bowiestate.edu,N/A
American International College,International College,College,2655 Northbrooke Drive,Springfield,+1 (239) 513 1122,+1 (239) 513 9054,employment@aic.edu,N/A
American Schools of Oriental Research (ASOR),American Schools of Oriental Research (ASOR),College,656 Beacon St,Boston,+1 (617) 353-6570,,asor@bu.edu,N/A
Amherst College,Amherst College,College,Boltwood Avenue,Amherst,+1 (413) 542 2000,+1 (413) 542 2040,mead@amherst.edu,N/A
Andover Newton Theological School,Andover Newton Theological School,College,210 Herrick Road,Newton Centre,+1 (617) 964-1100 or 1-800-964-ANTS,+1 (617) 965-9756,admissions@ants.edu,N/A
Anna Maria College,Anna Maria College,College,10 Sunset Lane,Paxton,+1 (508) 849 3300,+1 (508) 849 3339,jruggieri@annamaria.edu,N/A
Assumption College,Assumption College,College,500 Salisbury Street,Worcester,"+1 (508) 767 7000, 508-767-7387, 888-882-7786",+1 (508) 756 1780,graduate@assumption.edu,N/A
Atlantic Union College,Atlantic Union College,College,338 Main Street,South Lancaster,+1 (978) 368 2000,+1 (978) 368 2015,campusinfo@auc.edu,N/A
Babson College,Babson College,College,231 Forest Street,Babson Park,+1 (781) 2351200,,jobs@babson.edu,N/A
Babson College | F.W. Olin Graduate School of Business,Babson College | F.W. Olin Graduate School of Business,College,Babson Park,Babson,+1 (781) 235-1200,,webmaster@babson.edu,N/A
Bard College at Simons Rock,Bard College at Simons Rock,College,,,,,,N/A
Adrian College,Adrian College,College,110 S Madison Street,Adrian,+1 (517) 265 5161,+1 (517) 264 3331,studyabroad@adrian.edu,rbott@adrian.edu
Albion College,Albion College,College,611 E Porter Street,Albion,+1 (517) 629 1000,+1 (517) 629 569,ddunham@albion.edu,N/A
Alma College,Alma College,College,614 W Superior,Alma,+1 (989) 463 7111,+1 (517) 463 7277,messing@alma.edu,N/A
Alpena Community College,Alpena Community College,College,665 Johnson Street,Alpena,989-358-7211,989-358-7379,esawc@alpenacc.edu,N/A
Aquinas College,Aquinas College,College,1607 Robinson Road Se,Grand Rapids,+1 (616) 632 8900,+1 (616) 459 2563,duncaja@aquinas.edu,N/A
Baker College,Baker College,College,4500 Enterprise Drive,Allen Park,"+1 (313) 425-3700, (810) 766-2175",231-777-5263,r@baker.edu,N/A
Baker College Center for Graduate Studies,Baker College Center for Graduate Studies,College,1116 W. Bristol Rd,Flint,"+1 (800) 469-3165,+1 (810) 766-4390",,,N/A
Baker College of Allen Park,Baker College,College,4500 Enterprise Drive,"Allen Park, Auburn Hills, Cadillac, Clinton Township, Flint, Jackson, Muskegon, Owosso, Port Huron",+1 (248) 340 0600,+1 (810) 766 4049,hr-ca@baker.edu,N/A
Baker College of Auburn Hills,,College,1500 University Drive,Auburn Hills,+1 (248) 340-0600,,ah@baker.edu,N/A
Baker College of Cadillac,"Baker College, Cadillac Campus, MI",College,9600 East 13th Street,Cadillac,+1 (231) 876-3100,,ca@baker.edu,N/A
AIU Online,AIU Online,University,231 N. Martingale Road 6th Floor,Schaumburg,"+1 (877) 701-3800,+1 (847) 851-5000",,ombudsman@aiuonline.edu,N/A
Alexandria Technical College,Alexandria Technical College (ATC),College,1601 Jefferson St.,Alexandria,,+1 (320) 762-4501,employment@alextech.edu,N/A
Anoka Technical College,,College,1355 West Highway 10,Anoka,(763) 576-4850,,info@anokatech.edu,N/A
Anoka-Ramsey Community College (ARCC),Anoka-Ramsey Community College (ARCC),College,300 Spirit River Drive South,Cambridge,+++1 763.433.1100,+++1 763.433.1450,Lisa.Waggoner@anokaramsey.edu,N/A
Argosy University - Twin Cities,,University,1515 Central Parkway,Eagan,,,recruitingtc@argosy.edu,N/A
Arrowhead University,Arrowhead University,University,1515 E. 25th St.,Hibbing,+1 2182626790,+1 2182626791,trentjanezich@hibbing.edu,N/A
Augsburg College,Augsburg College,College,2211 Riverside Avenue,Minneapolis,"+1 (612) 330-1000,+1 (612) 330-1001,+1 (612) 330-1058",+1 (612) 330 1590,admissions@augsburg.edu,N/A
Bemidji State University,Bemidji State University,University,1500 Birchmont Drive,Bemidji,+1 (218) 755 3732,+1 (218) 755 4048,bsusports@bemidjistate.edu,N/A
Bethany Lutheran College,Bethany Lutheran College,College,700 Luther Dr,Mankato,+1 (800) 944-3066,+1 (507) 344-7376,,N/A
Bethel University (Minn.),Bethel University (Minn.),University,3900 Bethel Drive,St. Paul,"+1 6516386400, +1 6516386242",+1 6516351490,BUadmissions-cas@bethel.edu,N/A
Adam Smith University of America,"(unaccredited private distance learning university, see also: http://en.wikipedia.org/wiki/Adam_Smith_University)",University,"PMB 663 PPP, P.O. Box 10000",Saipan,+1 (800) 732-3796,,Info@adamsmith.edu,N/A
Alcorn State University,Alcorn State University,University,1000 ASU Drive #300,Alcorn State,+16018 (776) 147-6148,+1 (601) 877-6347,graduatestudies@alcorn.edu,N/A
Antonelli College – Hattiesburg Campus,Antonelli College,College,1500 N 31st Ave.,"Hattiesburg, Mississippi",+1 (877) 500-4304,,,N/A
Antonelli College – Jackson Campus,Antonelli College,College,2323 Lakeland Drive,"Jackson, Mississippi",+1 (877) 500-4304,,,N/A
Antonelli College – Online Campus,Antonelli College,College,,,+1 (877) 500-4304,,,N/A
"Bagley College of Engineering, Mississippi State University, Mississippi State","Bagley College of Engineering, Mississippi State University, Mississippi State",College,"PO Box 9544,","Mississippi State,",+1 6623252270,,info@bagley.msstate.edu,N/A
Belhaven College,Belhaven College,College,1500 Peachtree Street,Jackson,+1 800 960 5940,+1 (601) 968 9998,orlandoadmission@belhaven.edu,N/A
Blue Mountain College,Blue Mountain College,College,201 West Main,Blue Mountain,+1 (662) 685 4771,+1 (662) 685 4776,enzor@bmc.edu,N/A
"Boston College, Law School","Boston College, Law School, Chestnut Hill, MA",College,"Main Campus, 140 Commonwealth Avenue","Chestnut Hill, MA",+1 617-552-4350,+1 (731) 661 5175,bclawadm@bc.edu,N/A
Cambridge College System,Cambridge College System,College,"1000 Massachusetts Avenue, 80 Prospect Street",Cambridge,+1 800-877-4723,+1 703-418-2815,admit@cambridgecollege.edu,N/A
American Business and Technology University,American Business & Technology University,University,1018 West St. Maartens Drive,"St. Joseph, Missouri",+1 816 279 7000,+1 816 256 8348,info@abtu.edu,Profile
American College Of Hair Design Inc,American College Of Hair Design Inc,College,125 Winchester Drive,Sedalia,+1 660-827-1270,,,N/A
Avila University,Avila University,University,11901 Wornall Road,Kansas City,"+1 (816) 942 8400, +1 8165012400","+1 816-501-2452, +1 (816) 942 3362",InwardsBA@Avila.edu,N/A
Baptist Bible College,Baptist Bible College,College,628 E Kearney St,Springfield,"+1 (417) 268-6000,+1 (800) 228-5754",+1 (417) 268-6694,jslayden@gobbc.edu,N/A
Baptist Bible College of Missouri,Baptist Bible College and Graduate School,College,628 E Kearney,Springfield,+1 (417) 268 6060,,,N/A
Berean University of the Assemblies of God,,University,1211 South Glenstone Avenue,"Springfield , MO",+1 (800) 443-1083,,berean@globaluniversity.edu,N/A
Breech School Of Business Administration | Drury University,Breech School Of Business Administration | Drury University,College,900 North Benton Avenue,Springfield,+1 (417) 873-7415,+1 (417) 873-7537,mshirley@drury.edu,N/A
Brown School - Washington University in St.Louis,Brown School - Washington University in St.Louis,College,One Brookings Drive,"St. Louis, MO",+1 (314) 935-6676,+1 (314) 935-4859,elawlor@wustl.edu,Profile
"Bryan University, Springfield, Missouri","Bryan College, Springfield, MO",University,4255 Nature Center Way,"Springfield, Missouri",+1 (855) 566-0650,,t,Profile
Calvary Bible College,Calvary Bible College and Theological Seminary,College,15800 Calvary Road,Kansas City,+1 (816) 322 0110,+1 (816) 331 4474,admissions@calvary.edu,N/A
Blackfeet Community College,"Blackfeet Community College, Browning, MT",College,504 SE Boundary Street PO Box 819,"Browning, MT",+1 406-338-5441,+1 406-338-3272,pam_atkins@bfcc.org,N/A
Carroll College,Carroll College,College,1601 N Benton Avenue,Helena,"+1 (800) 992-3648,+1 (406) 447-4300",+1 (262) 524 7646,ksharp@carroll.edu,N/A
Chinook High School,Chinook High School,College,"PO Box 1059, 528 Ohio",Chinook,+1 (406) 357-2236,+1 (406) 357-2238,,N/A
Dawson County Community College District,Dawson Community College,College,Dawson Community College | 300 College Drive,"Glendive, Montana",+1 4063773396,+1 4063778132,tclingingsmith@dawson.edu,N/A
Flathead Valley Community College,Flathead Valley Community College,College,777 Grandview Drive,Kalispell,(406) 756-3822; 1-800-313-3822,(406) 756-3815,info@fvcc.edu,N/A
Intermountain Union College,Intermountain Union College,College,500 S. Lamborn St.,Helena,+1 406-442-7920,+1 800-200-9112,,N/A
Miles Community College,Miles Community College,College,2715 Dickinson,Miles City,406-874-6165,406-874-6277,laneyc@milescc.edu,N/A
Montana State University,Montana State University,University,Montana State University,Bozeman,"+1 406-994-2452, +1 (406) 994 4031",+1 (406) 994 1619,admissions@montana.edu,N/A
Montana State University - Northern,Montana State University - Northern,University,300 W 11Th Street,"Havre, Great Falls, Lewistown",+1 (406) 265 3700,+1 (406) 265 3777,r@msun.edu,N/A
Montana State University at Bozeman,Montana State University at Bozeman,University,"Culbertson Hall, P.O. Box 172230",Montana,"+1 (406) 994-1750, +1 406-994-5528","+1 (406) 994-1756, +1 406-994-3804",msuextension@montana.edu,N/A
Bellevue University,Bellevue University,University,1000 Galvin Road S,Bellevue,"+1 (800) 756-7920,+1 (402) 293-2000",+1 (402) 293 2055,OneStop@Bellevue.edu,hrjobs@bellevue.edu
BryanLGH College of Health Sciences,BryanLGH College of Health Sciences,College,5035 Everett Street,Lincoln,"(402) 481- 3801, 1-800-742-7844",402-481-8444,phollamon@bryanlgh.org,N/A
Central Community College,Central Community College,College,3134 West Highway 34,Grand Island,308-398-7327,308-398-7399,hr@cccneb.edu,hr@cccneb.edu
Chadron State College,Chadron State College,College,1000 Main Street,Chadron,+1 (308) 432 6000,308 432 6065,hr@csc.edu,hr@csc.edu
Clarkson College,Clarkson College,College,101 S 42Nd Street,Omaha,+1 (402) 552 3100,+1 (402) 552 3369,cappellano@clarksoncollege.edu,N/A
College of Business Administration | University of Nebraska at Lincoln,University of Nebraska at Lincoln | College of Business Administration,College,"Andrews Hall 202,625 N. 14th St.",Lincoln,+1 402-472-1850,+1 402-472-9771,mscheel2@unl.edu,N/A
"College of Engineering, University of Nebraska-Lincoln","College of Engineering, University of Nebraska-Lincoln",College,114 Othmer Hall/820 N 16th St. P.O. Box 880642,Lincoln,+1 (402) 472-3181 or 3182,+1 (402) 472-7792,engfrontdesk2@unl.edu,N/A
"College of Law, University of Nebraska-Lincoln,","College of Law, University of Nebraska-Lincoln,",College,,Lincoln,+1 402-472-2161,,sbraun1@unl.edu,N/A
College of St. Mary,College of Saint Mary,College,1901 S 72Nd Street,Omaha,+1 (402) 399 2400,+1 (402) 399 2647,enroll@csm.edu,N/A
"Concordia College, Seward",,College,800 N. Columbia Avenue,Seward,1-402-643-3651,,HumanResources@cune.edu,HumanResources@cune.edu
Advanced Technologies Academy,Advanced Technologies Academy,College,2501 Vegas Drive,"Las Vegas,",+1 799-7870 4100,,,N/A
"Carrington College, Las Vegas Campus",Carrington College,College,"5740 S. Eastern Avenue, Suite 140","Las Vegas, Nevada","+1 (702) 514-3236,+1 (877) 206-2106",,,N/A
"Carrington College, Reno Campus",Carrington College,College,5580 Kietzke Ln.,"Reno, Nevada","+1 (775) 335-1714,+1 (877) 206-2106",,,N/A
College of Southern Nevada,College of Southern Nevada,College,6375 W. Charleston Blvd.,Las Vegas,"+1 (702) 651-5000,+1 (702) 650-2276,+1 (702) 651-5820",+1 (702) 651-5821,iss@csn.edu,N/A
Deep Springs College,Deep Springs College,College,"HC 72 Box 45001,Deep Springs College",Dyer,,,curcom@deepsprings.edu,N/A
Great Basin College,Great Basin College,College,1500 College Pky,"Elko, Ely, Battle Mountain, Winnemucca, Pahrump",+1 (775) 738 8493,+1 (775) 738 8771,account@gbcnv.edu,N/A
"International Academy of Design and Technology, Tampa (IADT)",IADT Tampa,College,5104 Eisenhower Blvd.,Tampa,,,,N/A
International School of Hospitality,International School of Hospitality,College,,Las Vegas,702-947-7200,702-947-7205,j,N/A
"Kaplan College, Las Vegas","Kaplan College, Las Vegas",College,3535 W. Sahara Avenue,"Las Vegas, NV",+1 7023682338,+1 7023683853,,N/A
LCB Las Vegas,LCB Las Vegas,College,,,,,,N/A
American College of History and Legal Studies,American College of History and Legal Studies,College,"52 Stiles Road, Ste. 200B",Salem,603-204-3918,,info@achls.org,N/A
Antioch University New England,,University,40 Avon Street,Keene,"+1 (800) 553-8920,+1 (603) 357-3122",+1 (603) 357 0718,jcalhoun@antioch.edu,N/A
Chester College of New England,Chester College of New England,College,,Chester,,,jenna.gawne@chestercollege.edu,N/A
Colby-Sawyer College,Colby-Sawyer College,College,541 Main Street,New London,+1 (603) 5263000,+1 (603) 5263452,admissions@colby-sawyer.edu,N/A
College of Saint Mary Magdalen,College of Saint Mary Magdalen,College,511 Kearsarge Mountain Rd,Warner,"+1 (603) 456-2656,+1 (877) 498-1723",+1 (603) 456-2660,,N/A
Community College System of New Hampshire,Community College System of New Hampshire,College,26 College Drive,Concord,(603) 271-2722,(603) 271-2725,3737@imsearch.com,N/A
Daniel Webster College,Daniel Webster College,College,20 University Drive,Nashua,+1 (603) 577 6000,+1 (603) 577 6001,info@dwc.edu,N/A
Dartmouth College,Dartmouth College,College,"Suite 203,7 Lebanon Street",Hanover,+1 (603) 646 1110,+1 603-646-3353,gex@dartmouth.edu,N/A
Dartmouth College Library,Dartmouth College Library,College,,,,,,N/A
Dartmouth College Thayer School of Engineering,Dartmouth College Thayer School of Engineering,College,8000 Cummings Hall,Hanover,,-5104,Thayer.Receptionist@Dartmouth.edu,N/A
Assumption College for Sisters,Assumption College for Sisters,College,350 Bernardsville Road,"Mendham, NJ",+1 (973) 543-6528 230,+1 (973) 543-1738,acs@scceast.org,Profile
Atlantic Cape Community College,Atlantic Cape Community College,College,1535 Bacharach Blvd.,Atlantic City,+1 (609) 343-4800,,,Profile
"Atlantic County Vocational Technical School, Atlantic County Institute of Technology","Atlantic County Vocational Technical School, Atlantic County Institute of Technology",College,5080 Atlantic Avenue Mays,Landing,+1 (609) 625-2249,,,Profile
Bergen Community College,Bergen Community College,College,"400 Paramus Road, Room A316",New Jersey,,201-251-4987,employment@bergen.edu,N/A
"Bergen County College of Business Administration, County og Bergen","Bergen County College of Business Administration, County og Bergen",College,One Bergen County Plaza,Hackensack,,,,Profile
Bloomfield College,Bloomfield College,College,467 Franklin Street,Bloomfield,+1 (973) 748 9000,+1 (201) 743 3998,VP@bloomfield.edu,N/A
Brookdale Community College,Brookdale Community College,College,765 Newman Springs Road,Lincroft,"+1 (732) 224-2236, +1 (732) 224-2375",+1 (732) 224-2970,records@brookdalecc.edu,N/A
Burlington County College,Burlington County College,College,,Pemberton,609-894-9311 Ext. 1390,,pfett@bcc.edu,N/A
Caldwell College,Caldwell College,College,9 Ryerson Avenue,Caldwell,+1 (973) 618 3000,+1 (973) 618 3600,resumes@caldwell.edu,N/A
Camden County College,Camden County College,College,P.O. Box 200 College Drive,Blackwood,+1 (856) 227-7200,,,Profile
Albert Einstein College of Medicine of Yeshiva Univeristy,"The Albert Einstein College of Medicine, Yeshiva University",College,1300 Morris Park Ave.,Bronx,+++1 718-430-3422,+++1 718-430-4098,admissions@einstein.yu.edu,registrar@einstein.yu.edu
Albuquerque Barber College,Albuquerque Barber College,College,601 San Pedro Drive Northheast,"Albuquerque, NM",+1 (505) 266-4900,,info@abqbarbercollege.com,N/A
American Century University,,University,615 1st ST NW,Albuquerque,"+1 (800) 240-6757,+1 (505) 889-2711",+1 (505) 889-2750,info@centuryuniversity.edu,N/A
Apollo College,Apollo College,College,1001 Menaul Blvd NE,Albuquerque,+1 877-205-1458,,333Cuba@gmail.com,N/A
"Brookline College, Phoenix, AZ","Brookline College, Phoenix, AZ",College,,Albuquerque,,,,N/A
"Carrington College, Albuquerque Campus",Carrington College,College,1001 Menaul Blvd. NE,"Albuquerque, New Mexico","+1 (505) 634-5236,+1 (877) 206-2106",,,N/A
Central New Mexico Community College,Central New Mexico Community College,College,525 Buena Vista Dr. SE,Albuquerque,505-224-4600,,CNMCareers@cnm.edu,N/A
Clovis Community College,Clovis Community College,College,417 Schepps Boulevard,Clovis,+1 5757694033,+1 5757694190,hrs@clovis.edu,N/A
College of Business | New Mexico State University,College of Business | New Mexico State University,College,,,,,,N/A
"College of Pharmacy,University of New Mexico-Main Campus","College of Pharmacy,University of New Mexico-Main Campus",College,,Albuquerque,,,,N/A
Adelphi University,Adelphi University,University,South Avenue,"Garden City,","+1 (516) 877 3000, 5168773050",+1 (516) 877 3545,ucinfo@adelphi.edu,admissions@adelphi.edu
Adelphi University | School of Nursing,Adelphi University | School of Nursing,College,,,,,,N/A
"Adelphi University, Business School","Adelphi University, Business School",College,P.O. Box 701,Garden City,"1-800-, +1 5168773150",+++1 5168773141,ucinfo@adelphi.edu,N/A
Adirondack Community College,Adirondack Community College,College,640 Bay Road,Queensbury,+1 (518) 743-2257,+1 518 832-7702,apply@sunyacc.edu,N/A
Ailey School,"Ailey School, New York",College,405 West 55th Street (at 9th Avenue),New York,+1 (212) 405-9000,+1 (212) 405-9001,director@alvinailey.org,N/A
Albany College of Pharmacy,Albany College of Pharmacy,College,106 New Scotland Avenue,Albany,+1 (518) 445 7221,+1 (518) 445 7322,INFO@ACP.EDU,N/A
Albany College of Pharmacy and Health Sciences,Albany College of Pharmacy and Health Sciences,College,106 New Scotland Avenue,Albany,888-203-8010,518-694-7202,INFO@ACP.EDU,N/A
Albany Law School of Union University,Union University,College,1050 Union University Drive,Albany,+1 (731) 668 1818,+1 (731) 661 5175,admissions@albanylaw.edu,admissions@albanylaw.edu
Albany University,University at Albany,University,1400 Washington Street,Albany,+1 (518) 4423300,+1 (518) 4374909,azrl@uamail.albany.edu,N/A
Albert Einstein College Medicine,Albert Einstein College Medicine,College,,New York,,,,N/A
Alamance Community College,Alamance Community College,College,P.O. Box 8000,Graham,+1 (336) 578-2002,+1 (336) 578-1987,operator@alamancecc.edu,Profile
Andrews University,Andrews University,University,Andrews University,"Berrien Springs, MI","+1 (269) 471 7771, 269-471-3611, 269-471-6321",+1 (269) 471 2670,enroll@andrews.edu,N/A
Appalachian State University,Appalachian State University,University,287 Rivers St,Boone,+1 (828) 262 2120,+1 (828) 262 3296,riedlre@appstate.edu,N/A
"Appalachian State University, Business School","Appalachian State University, Business School",College,,Boone,,,,N/A
"Appalachian State University, Reich College of Education","Appalachian State University, Reich College of Education, Boone, NC",College,Reich College of Education 730 Rivers Street,"Boone, NC",,-3217,beasleydf@appstate.edu,N/A
Asheville-Buncombe Technical Community College,Asheville-Buncombe Technical Community College,College,340 Victoria Road,Asheville,828-254-1921,828-232-5004,web@abtech.edu,N/A
Baltimore School of Massage,Baltimore School of Massage,College,,Greenville,,,,N/A
Barber-Scotia College,,College,145 Cabarrus Ave West,Concord,+1 (704 ) 789 2900,,...@b-sc.edu,N/A
Barton College,Barton College,College,400 N Acc Drive,Wilson,+1 (252) 399 6300,+1 (252) 399 6571,tfuller@performahe.com,N/A
Beaufort County Community College,Beaufort County Community College,College,Beaufort County Community College 5337 Hwy 264 East P.O. Box 1069,Washington,+1 940-6299,252-940-6414,evap@beaufortccc.edu,N/A
Bismarck State College,Bismarck State College,College,1500 Edwards Avenue - PO Box 5587,Bismarck,+1 701-224-5531,+1 701-224-5773,BSC.Records@bismarckstate.edu,BSC.Admissions@bismarckstate.edu
Cankdeska Cikana Community College,"Cankdeska Cikana Community College, Fort Totten, ND",College,PO Box 269,"Fort Totten, ND",+1 7017664415,+1 7017664077,info@littlehoop.edu,N/A
Dakota College at Bottineau,Dakota College at Bottineau,College,105 Simrall Boulevard,Bottineau,701-228-5470,701-228-5656,katie.rages@dakotacollege.edu,N/A
Dickinson State University,Dickinson State University,University,291 Campus Drive,Dickinson,+1 (701) 483-2507,+1 (701) 483-2177,dsu.hawks@dsu.nodak.edu,N/A
Fort Berthold Community College (FBCC),FBCC,College,PO Box 490 - 220 8th Ave. N.,New Town,+++1 701-627-4738,+++1 701-627-3609,,N/A
Georgia Military College,Georgia Military College,College,2601 B Cross Country Drive Building B,Columbus,+1 706 478 3148,+1 706 568 5311,rhundley@gmc.cc.ga.us,N/A
Jamestown College,Jamestown College,College,608 6Th Street Ne,Jamestown,+1 (701) 252 3467,+1 (701) 253 4318,jkaiser@jc.edu,N/A
Lake Region State College,Lake Region State College,College,1801 COLLEGE DRIVE N,DEVILS LAKE,+1 (701) 662-1600,,lrsc.president@lrsc.nodak.edu,N/A
Mayville State University,Mayville State University,University,330 3Rd Street Ne,Mayville,+1 (701) 788 2301,+1 (701) 788 4748,steven.bensen@mayvillestate.edu,N/A
Minot State University,Minot State University,University,500 University Avenue West,Minot,(701) 858-3352,(701) 858-3686,wes.matthews@minotstateu.edu,N/A
Allegheny Wesleyan College,Allegheny Wesleyan College,College,2161 Woodsdale Road,Salem,+1 (800) 292-3153,,college@awc.edu,college@awc.edu
"American School of Technology, Columbus, OH","American School of Technology, Columbus, OH",College,2100 Morse Road,"Columbus, OH",,,admissions@ast.edu,N/A
Antioch College,Antioch College,College,795 Livermore Street,Yellow Springs,+1 (617) 394 4070,937-401-0441,webeditor@antioch-college.edu,N/A
Antioch University,Antioch University,University,150 E South College Street,Yellow Springs,"+1 (937) 769-1340,+19377691015 (800) 874-7986,+1 (937) 769-1360","+1 (937) 769-1350,+1 (937) 769-1019",aea@antioch.edu,N/A
Antioch University Midwest,Antioch University Midwest,University,150 E. S. College St.,Yellow Springs,"+1 (937) 769-1800,+1 (937) 769-1361",+1 (937) 769-1377,kdespain@antioch.edu,N/A
Antonelli College – Cincinnati Campus,Antonelli College,College,124 East 7th Street,"Cincinnati, Ohio",+1 (513) 241-4338,513-241-9396,,N/A
Ashland Theological Seminary,Ashland Theological Seminary,College,,,,,,N/A
Ashland University,Ashland University,University,401 College Ave,Ashland,+1 (419) 289 5052,+1 (419) 289 5999,ats@ashland.edu,N/A
Athenaeum of Ohio,,College,6616 Beechmont Avenue,Cincinnati,+1 (513) 231-2223,+1 5132313254,,N/A
Aultman College,Aultman College,College,,,,,,N/A
American Broadcasting School,American Broadcasting School,College,Corporate Headquarters 4511 SE 29th Street,Oklahoma City,+1 405) 672-6511,,admissions@radioschool.com,admissions@radioschool.com
American College Of Medical Technology,American College Of Medical Technology,College,4500 S Garnett Rd Suite 110,Tulsa,+1 918-496-0800,+1 918-496-8505,info@aimt.edu,N/A
Bacone College,Bacone College,College,2299 Old Bacone Road,Muskogee,918-781-7362,918-781-7432,wrightc@bacone.edu,N/A
Brown Mackie College - Tulsa,Tulas - Brown Mackie College,College,"4608 South Garnett, Suite 110","Tulsa, Oklahoma",+1 918-628-3700,,materialsreview@brownmackie.edu,N/A
Cameron University,Cameron University,University,2800 W Gore Boulevard,Lawton,+1 (580) 581 2289,+1 (580) 581 5514,admissions@cameron.edu,admissions@cameron.edu
Carl Albert State College,Carl Albert State College,College,1507 South McKenna,Poteau,918-647-1373,918-647-1359,vhill@carlalbert.edu,N/A
Clary Sage College,Clary Sage College,College,3131 S Sheridan Rd.,"Tulsa, Oklahoma",+1 (918) 298-8200,,info@clarysagecollege.com,N/A
College of Atmospheric and Geographic Sciences | University of Oklahoma,College of Atmospheric and Geographic Sciences | University of Oklahoma,College,"100 East Boyd St. SEC, Room 554",Norman,+1 (405) 3253101,+1 (405) 3253148,ags@ou.edu,N/A
"College of Engineering, Architecture and Technology of Oklahoma State University","College of Engineering, Architecture and Technology of Oklahoma State University",College,201 ATRC,Stillwater,+1 4057445000,,karl.reid@okstate.edu,N/A
"College of Law, The University of Oklahoma","College of Law, The University of Oklahoma",College,,,,,,N/A
American College of Healthcare Sciences,American College of Healthcare Sciences,College,,Portland,503-244-0726,503-244-0727,ruthfeely@achs.edu,N/A
Beaumonde College of Beauty And Hair Design,Beaumonde College of Hair Design,College,Beau Monde College of Hair Design 1221 SW 12th Ave,Portland,+1 5032261427,+1 5032412823,,N/A
Blue Mountain Community College - Pendleton Campus,Blue Mountain Community College - Pendleton Campus,College,PO Box 100,Pendleton,541-278-5947,541-276-6523,hr@bluecc.edu,N/A
Brandman University,Brandman University,University,"16355 Laguna Canyon Road, 3rd Floor",Irvine,+1 (949) 341-9811,+1 (949) 754-1331,stfoster@brandman.edu,N/A
"Carrington College, Portland Campus",Carrington College,College,"2004 Lloyd Center, 3rd Floor","Portland, Oregon","+1 (503) 616-9132,+1 (877) 206-2106",,,N/A
Central Oregon Community College,Central Oregon Community College,College,"Metolius Hall, Room 101",Bend,541-383-7216,541-383-7505,,N/A
Chemeketa Community College,Chemeketa Community College,College,PO Box 14007,Salem,509.399.5009,503-399-7810,humanresources@chemeketa.edu,N/A
Clackamas Community College,Clackamas Community College,College,19600 Molalla Avenue,Oregon City,503-594-3301,,R,N/A
Clark Honors College,Clark Honors College,College,Chapman 320,Eugene,541-346-5414,541-346-0125,kevern@uoregon.edu,N/A
Clatsop Community College,Clatsop Community College,College,1653 Jerome Avenue,Astoria,503 338-2406,503 338-3451,jbakke@clatsopcc.edu,N/A
Albright College,Albright College,College,"13th and Bern Streets, P.O. Box 15234",Reading,"+1 6109212381, +1 (610) 921 7512",+1 (610) 921 7729,bwittemech@alb.edu,hr@alb.edu
